"hugo_gene"	"link"
"MET"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MET', target = '_blank'>GeneCards</a>"
"NOS1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1', target = '_blank'>GeneCards</a>"
"NOS2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2', target = '_blank'>GeneCards</a>"
"NOS3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3', target = '_blank'>GeneCards</a>"
"MMP13"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP13', target = '_blank'>GeneCards</a>"
"MMP2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2', target = '_blank'>GeneCards</a>"
"MMP8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP8', target = '_blank'>GeneCards</a>"
"HCRTR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRTR1', target = '_blank'>GeneCards</a>"
"HCRTR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRTR2', target = '_blank'>GeneCards</a>"
"GPBAR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPBAR1', target = '_blank'>GeneCards</a>"
"CYP17A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1', target = '_blank'>GeneCards</a>"
"CHRM3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM3', target = '_blank'>GeneCards</a>"
"SORT1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SORT1', target = '_blank'>GeneCards</a>"
"PAK4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK4', target = '_blank'>GeneCards</a>"
"HRH4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH4', target = '_blank'>GeneCards</a>"
"ALOX5AP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5AP', target = '_blank'>GeneCards</a>"
"MAOA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA', target = '_blank'>GeneCards</a>"
"MAOB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOB', target = '_blank'>GeneCards</a>"
"DYRK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK2', target = '_blank'>GeneCards</a>"
"HASPIN"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HASPIN', target = '_blank'>GeneCards</a>"
"CDK4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4', target = '_blank'>GeneCards</a>"
"CCNB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB1', target = '_blank'>GeneCards</a>"
"CCND1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1', target = '_blank'>GeneCards</a>"
"CDK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1', target = '_blank'>GeneCards</a>"
"CDK6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6', target = '_blank'>GeneCards</a>"
"FLT3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT3', target = '_blank'>GeneCards</a>"
"DRD2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2', target = '_blank'>GeneCards</a>"
"HTR6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR6', target = '_blank'>GeneCards</a>"
"PRKCI"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCI', target = '_blank'>GeneCards</a>"
"SCN9A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN9A', target = '_blank'>GeneCards</a>"
"ABL1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ABL1', target = '_blank'>GeneCards</a>"
"BRD4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD4', target = '_blank'>GeneCards</a>"
"PDE2A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE2A', target = '_blank'>GeneCards</a>"
"PIK3CA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA', target = '_blank'>GeneCards</a>"
"OPRD1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRD1', target = '_blank'>GeneCards</a>"
"OPRK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRK1', target = '_blank'>GeneCards</a>"
"OPRM1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRM1', target = '_blank'>GeneCards</a>"
"ELANE"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE', target = '_blank'>GeneCards</a>"
"GHSR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GHSR', target = '_blank'>GeneCards</a>"
"KCNH2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH2', target = '_blank'>GeneCards</a>"
"CHRM1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM1', target = '_blank'>GeneCards</a>"
"DRD3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3', target = '_blank'>GeneCards</a>"
"MAPK14"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14', target = '_blank'>GeneCards</a>"
"P2RX7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX7', target = '_blank'>GeneCards</a>"
"CREBBP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP', target = '_blank'>GeneCards</a>"
"HRH1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH1', target = '_blank'>GeneCards</a>"
"CDK9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK9', target = '_blank'>GeneCards</a>"
"FAAH"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FAAH', target = '_blank'>GeneCards</a>"
"ADRA1B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1B', target = '_blank'>GeneCards</a>"
"ADRA2A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2A', target = '_blank'>GeneCards</a>"
"ADRA2B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2B', target = '_blank'>GeneCards</a>"
"ADRA2C"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2C', target = '_blank'>GeneCards</a>"
"PTGDR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGDR2', target = '_blank'>GeneCards</a>"
"PKLR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PKLR', target = '_blank'>GeneCards</a>"
"P2RX3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX3', target = '_blank'>GeneCards</a>"
"MMP14"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14', target = '_blank'>GeneCards</a>"
"NAMPT"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT', target = '_blank'>GeneCards</a>"
"CCR9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR9', target = '_blank'>GeneCards</a>"
"AOC3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC3', target = '_blank'>GeneCards</a>"
"NR3C1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1', target = '_blank'>GeneCards</a>"
"MAPK10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10', target = '_blank'>GeneCards</a>"
"MAPK8"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8', target = '_blank'>GeneCards</a>"
"CRHR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CRHR1', target = '_blank'>GeneCards</a>"
"GPR119"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR119', target = '_blank'>GeneCards</a>"
"CHRNA4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA4', target = '_blank'>GeneCards</a>"
"CHRNB2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNB2', target = '_blank'>GeneCards</a>"
"CASP3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3', target = '_blank'>GeneCards</a>"
"HTR2C"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2C', target = '_blank'>GeneCards</a>"
"HTR2A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A', target = '_blank'>GeneCards</a>"
"HSD11B1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1', target = '_blank'>GeneCards</a>"
"SLC6A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A2', target = '_blank'>GeneCards</a>"
"SLC6A3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3', target = '_blank'>GeneCards</a>"
"PAK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK1', target = '_blank'>GeneCards</a>"
"PAK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK2', target = '_blank'>GeneCards</a>"
"MAP3K12"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K12', target = '_blank'>GeneCards</a>"
"PDK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDK1', target = '_blank'>GeneCards</a>"
"GPR142"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR142', target = '_blank'>GeneCards</a>"
"ROCK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK2', target = '_blank'>GeneCards</a>"
"NR3C2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C2', target = '_blank'>GeneCards</a>"
