"hugo_gene"	"link"
"PPP5C"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP5C', target = '_blank'>GeneCards</a>"
"SFRP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP1', target = '_blank'>GeneCards</a>"
"SLC14A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC14A1', target = '_blank'>GeneCards</a>"
"SLC18A3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC18A3', target = '_blank'>GeneCards</a>"
"VIPR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=VIPR2', target = '_blank'>GeneCards</a>"
"RIPK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1', target = '_blank'>GeneCards</a>"
"EIF2AK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK1', target = '_blank'>GeneCards</a>"
"GABRA6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA6', target = '_blank'>GeneCards</a>"
"CTNNB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1', target = '_blank'>GeneCards</a>"
"TCF7L2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L2', target = '_blank'>GeneCards</a>"
"GRK5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK5', target = '_blank'>GeneCards</a>"
"BMX"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BMX', target = '_blank'>GeneCards</a>"
"ITK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ITK', target = '_blank'>GeneCards</a>"
"TEC"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TEC', target = '_blank'>GeneCards</a>"
"TXK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TXK', target = '_blank'>GeneCards</a>"
"GABRB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRB1', target = '_blank'>GeneCards</a>"
"ADAMTS4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS4', target = '_blank'>GeneCards</a>"
"KIFC1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KIFC1', target = '_blank'>GeneCards</a>"
"CCKAR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCKAR', target = '_blank'>GeneCards</a>"
"GRB7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB7', target = '_blank'>GeneCards</a>"
"ANPEP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ANPEP', target = '_blank'>GeneCards</a>"
"PTGFR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGFR', target = '_blank'>GeneCards</a>"
"RAF1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1', target = '_blank'>GeneCards</a>"
"RHOA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA', target = '_blank'>GeneCards</a>"
"DOT1L"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DOT1L', target = '_blank'>GeneCards</a>"
"RAPGEF4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAPGEF4', target = '_blank'>GeneCards</a>"
"ICMT"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ICMT', target = '_blank'>GeneCards</a>"
"DAO"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DAO', target = '_blank'>GeneCards</a>"
"USP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=USP1', target = '_blank'>GeneCards</a>"
"WDR48"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR48', target = '_blank'>GeneCards</a>"
"SLC6A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A1', target = '_blank'>GeneCards</a>"
"HSP90B1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90B1', target = '_blank'>GeneCards</a>"
"PLA2G7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G7', target = '_blank'>GeneCards</a>"
"CASP9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9', target = '_blank'>GeneCards</a>"
"KHK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KHK', target = '_blank'>GeneCards</a>"
"DAGLA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DAGLA', target = '_blank'>GeneCards</a>"
"ALDH1A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH1A1', target = '_blank'>GeneCards</a>"
"CYP2C9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9', target = '_blank'>GeneCards</a>"
"CCNH"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNH', target = '_blank'>GeneCards</a>"
"CCNT1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNT1', target = '_blank'>GeneCards</a>"
"AFF1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AFF1', target = '_blank'>GeneCards</a>"
"AFF4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AFF4', target = '_blank'>GeneCards</a>"
"C2CD5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=C2CD5', target = '_blank'>GeneCards</a>"
"CAB39"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CAB39', target = '_blank'>GeneCards</a>"
"CABLES1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CABLES1', target = '_blank'>GeneCards</a>"
"CCNT2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNT2', target = '_blank'>GeneCards</a>"
"CDK12"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK12', target = '_blank'>GeneCards</a>"
"CDK13"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK13', target = '_blank'>GeneCards</a>"
"CDK16"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK16', target = '_blank'>GeneCards</a>"
"CDK17"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK17', target = '_blank'>GeneCards</a>"
"CKS1B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CKS1B', target = '_blank'>GeneCards</a>"
"ERCC2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2', target = '_blank'>GeneCards</a>"
"FAM58A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM58A', target = '_blank'>GeneCards</a>"
"FAM58BP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM58BP', target = '_blank'>GeneCards</a>"
"FIBP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FIBP', target = '_blank'>GeneCards</a>"
"GSKIP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GSKIP', target = '_blank'>GeneCards</a>"
"ICK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ICK', target = '_blank'>GeneCards</a>"
"KIAA0195"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA0195', target = '_blank'>GeneCards</a>"
"MNAT1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MNAT1', target = '_blank'>GeneCards</a>"
"STK11"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11', target = '_blank'>GeneCards</a>"
"TAOK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TAOK2', target = '_blank'>GeneCards</a>"
"AAK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AAK1', target = '_blank'>GeneCards</a>"
"ACTR3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR3', target = '_blank'>GeneCards</a>"
"ACVR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1', target = '_blank'>GeneCards</a>"
"ADCK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCK1', target = '_blank'>GeneCards</a>"
"AP1G1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1G1', target = '_blank'>GeneCards</a>"
"AP2M1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AP2M1', target = '_blank'>GeneCards</a>"
"AZI2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AZI2', target = '_blank'>GeneCards</a>"
"BMP2K"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2K', target = '_blank'>GeneCards</a>"
"BMPR1A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A', target = '_blank'>GeneCards</a>"
"BMPR1B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1B', target = '_blank'>GeneCards</a>"
"BUB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BUB1', target = '_blank'>GeneCards</a>"
"CAMK2G"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G', target = '_blank'>GeneCards</a>"
"CAMK4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK4', target = '_blank'>GeneCards</a>"
"CIT"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CIT', target = '_blank'>GeneCards</a>"
"DDB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DDB1', target = '_blank'>GeneCards</a>"
"DHCR24"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DHCR24', target = '_blank'>GeneCards</a>"
"DYNLL2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLL2', target = '_blank'>GeneCards</a>"
"EIF3J"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3J', target = '_blank'>GeneCards</a>"
"EPHA7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA7', target = '_blank'>GeneCards</a>"
"HCK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HCK', target = '_blank'>GeneCards</a>"
"IRAK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK3', target = '_blank'>GeneCards</a>"
"LATS1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=LATS1', target = '_blank'>GeneCards</a>"
"MAP2K2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K2', target = '_blank'>GeneCards</a>"
"MAP2K5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K5', target = '_blank'>GeneCards</a>"
"MAP2K6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K6', target = '_blank'>GeneCards</a>"
"MAP3K11"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K11', target = '_blank'>GeneCards</a>"
"MAP3K2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K2', target = '_blank'>GeneCards</a>"
"MAP4K3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4K3', target = '_blank'>GeneCards</a>"
"MAP4K5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4K5', target = '_blank'>GeneCards</a>"
"MST1R"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1R', target = '_blank'>GeneCards</a>"
"NEK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK3', target = '_blank'>GeneCards</a>"
"Q6ZSR9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=Q6ZSR9', target = '_blank'>GeneCards</a>"
"RIPK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK2', target = '_blank'>GeneCards</a>"
"RIPK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK3', target = '_blank'>GeneCards</a>"
"RPL10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL10', target = '_blank'>GeneCards</a>"
"RPL35A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL35A', target = '_blank'>GeneCards</a>"
"RPS4X"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4X', target = '_blank'>GeneCards</a>"
"RPS6KA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA1', target = '_blank'>GeneCards</a>"
"SLC16A3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A3', target = '_blank'>GeneCards</a>"
"SLC25A5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A5', target = '_blank'>GeneCards</a>"
"SLK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLK', target = '_blank'>GeneCards</a>"
"SNRNP200"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP200', target = '_blank'>GeneCards</a>"
"STK10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK10', target = '_blank'>GeneCards</a>"
"STK16"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK16', target = '_blank'>GeneCards</a>"
"SYNGR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNGR2', target = '_blank'>GeneCards</a>"
"TBKBP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TBKBP1', target = '_blank'>GeneCards</a>"
"TNK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK1', target = '_blank'>GeneCards</a>"
"TP53RK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53RK', target = '_blank'>GeneCards</a>"
"TPRKB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TPRKB', target = '_blank'>GeneCards</a>"
"ULK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK3', target = '_blank'>GeneCards</a>"
"NEK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK2', target = '_blank'>GeneCards</a>"
"DPP9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP9', target = '_blank'>GeneCards</a>"
"GPR39"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR39', target = '_blank'>GeneCards</a>"
"HTR5A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR5A', target = '_blank'>GeneCards</a>"
"HEXA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXA', target = '_blank'>GeneCards</a>"
"HEXB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXB', target = '_blank'>GeneCards</a>"
"JUN"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN', target = '_blank'>GeneCards</a>"
"CDC25C"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC25C', target = '_blank'>GeneCards</a>"
"GPR4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR4', target = '_blank'>GeneCards</a>"
"ENPP2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP2', target = '_blank'>GeneCards</a>"
"TLR7"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7', target = '_blank'>GeneCards</a>"
"AMD1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AMD1', target = '_blank'>GeneCards</a>"
"RPS6KA5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA5', target = '_blank'>GeneCards</a>"
"CD40"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40', target = '_blank'>GeneCards</a>"
"TDO2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TDO2', target = '_blank'>GeneCards</a>"
"ADCY10"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY10', target = '_blank'>GeneCards</a>"
"ATP1A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1', target = '_blank'>GeneCards</a>"
"ERG"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ERG', target = '_blank'>GeneCards</a>"
"GAA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA', target = '_blank'>GeneCards</a>"
"MGAM"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MGAM', target = '_blank'>GeneCards</a>"
"P2RX2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX2', target = '_blank'>GeneCards</a>"
"ABHD5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD5', target = '_blank'>GeneCards</a>"
"PLIN1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN1', target = '_blank'>GeneCards</a>"
"PLIN5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN5', target = '_blank'>GeneCards</a>"
"BIRC5"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5', target = '_blank'>GeneCards</a>"
"LSS"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=LSS', target = '_blank'>GeneCards</a>"
"SRD5A2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A2', target = '_blank'>GeneCards</a>"
"FFAR3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FFAR3', target = '_blank'>GeneCards</a>"
"TCF4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF4', target = '_blank'>GeneCards</a>"
"KCNK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK3', target = '_blank'>GeneCards</a>"
"KCNK9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK9', target = '_blank'>GeneCards</a>"
"ORAI2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI2', target = '_blank'>GeneCards</a>"
"ORAI3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI3', target = '_blank'>GeneCards</a>"
"TRPV6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV6', target = '_blank'>GeneCards</a>"
"SLC6A15"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A15', target = '_blank'>GeneCards</a>"
"AGTR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2', target = '_blank'>GeneCards</a>"
"BRPF1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BRPF1', target = '_blank'>GeneCards</a>"
"DAPK1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1', target = '_blank'>GeneCards</a>"
"DAPK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK3', target = '_blank'>GeneCards</a>"
"MELK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MELK', target = '_blank'>GeneCards</a>"
"STK17A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK17A', target = '_blank'>GeneCards</a>"
"STK17B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK17B', target = '_blank'>GeneCards</a>"
"VAV1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV1', target = '_blank'>GeneCards</a>"
"SLC37A4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC37A4', target = '_blank'>GeneCards</a>"
"AXL"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=AXL', target = '_blank'>GeneCards</a>"
"MERTK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MERTK', target = '_blank'>GeneCards</a>"
"TYRO3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TYRO3', target = '_blank'>GeneCards</a>"
"NQO1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO1', target = '_blank'>GeneCards</a>"
"GIPR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GIPR', target = '_blank'>GeneCards</a>"
"POLB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=POLB', target = '_blank'>GeneCards</a>"
"CTSG"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSG', target = '_blank'>GeneCards</a>"
"RASGRP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRP1', target = '_blank'>GeneCards</a>"
"RASGRP3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRP3', target = '_blank'>GeneCards</a>"
"METAP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=METAP1', target = '_blank'>GeneCards</a>"
"CTRC"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CTRC', target = '_blank'>GeneCards</a>"
"GLP2R"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GLP2R', target = '_blank'>GeneCards</a>"
"FURIN"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN', target = '_blank'>GeneCards</a>"
"PCSK6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK6', target = '_blank'>GeneCards</a>"
"GLA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA', target = '_blank'>GeneCards</a>"
"TEAD1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TEAD1', target = '_blank'>GeneCards</a>"
"YAP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1', target = '_blank'>GeneCards</a>"
"KCNA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA1', target = '_blank'>GeneCards</a>"
"FES"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FES', target = '_blank'>GeneCards</a>"
"FRK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=FRK', target = '_blank'>GeneCards</a>"
"LTK"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=LTK', target = '_blank'>GeneCards</a>"
"NTRK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK3', target = '_blank'>GeneCards</a>"
"ERAP1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ERAP1', target = '_blank'>GeneCards</a>"
"ERAP2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ERAP2', target = '_blank'>GeneCards</a>"
"PSMB9"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB9', target = '_blank'>GeneCards</a>"
"APLNR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=APLNR', target = '_blank'>GeneCards</a>"
"PTH1R"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH1R', target = '_blank'>GeneCards</a>"
"CALCR"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCR', target = '_blank'>GeneCards</a>"
"STAT6"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT6', target = '_blank'>GeneCards</a>"
"CFB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CFB', target = '_blank'>GeneCards</a>"
"KLK3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3', target = '_blank'>GeneCards</a>"
"SSTR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SSTR1', target = '_blank'>GeneCards</a>"
"SSTR4"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SSTR4', target = '_blank'>GeneCards</a>"
"CPT2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT2', target = '_blank'>GeneCards</a>"
"PRCP"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRCP', target = '_blank'>GeneCards</a>"
"ACE2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2', target = '_blank'>GeneCards</a>"
"CPA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CPA1', target = '_blank'>GeneCards</a>"
"BDKRB2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BDKRB2', target = '_blank'>GeneCards</a>"
"RORA"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RORA', target = '_blank'>GeneCards</a>"
"RORB"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=RORB', target = '_blank'>GeneCards</a>"
"OXER1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=OXER1', target = '_blank'>GeneCards</a>"
"CFD"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CFD', target = '_blank'>GeneCards</a>"
"SLC33A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC33A1', target = '_blank'>GeneCards</a>"
"F13A1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=F13A1', target = '_blank'>GeneCards</a>"
"TGM2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM2', target = '_blank'>GeneCards</a>"
"CYSLTR1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYSLTR1', target = '_blank'>GeneCards</a>"
"TPO"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TPO', target = '_blank'>GeneCards</a>"
"BCAT1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAT1', target = '_blank'>GeneCards</a>"
"ASIC3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ASIC3', target = '_blank'>GeneCards</a>"
"MCHR2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=MCHR2', target = '_blank'>GeneCards</a>"
"ABCG2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2', target = '_blank'>GeneCards</a>"
"PRKCZ"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCZ', target = '_blank'>GeneCards</a>"
"ASAH1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAH1', target = '_blank'>GeneCards</a>"
"KCNQ1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1', target = '_blank'>GeneCards</a>"
"PDE1A"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE1A', target = '_blank'>GeneCards</a>"
